               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.035045,            0.053033,           0.0037866,             0.70411,             0.39891,             0.42633,             0.25722,            0.037263,            0.060652,           0.0085161,            0.006238,            0.006238,            0.006238
                 116,            0.035122,            0.052156,           0.0037369,             0.71333,             0.39684,             0.42543,             0.25632,            0.037267,            0.060707,           0.0085445,            0.006205,            0.006205,            0.006205
                 117,            0.034953,            0.052589,           0.0036697,             0.72768,             0.39206,             0.42376,             0.25547,            0.037273,            0.060733,           0.0086374,            0.006172,            0.006172,            0.006172
                 118,            0.034907,            0.052548,           0.0036403,             0.74943,             0.38618,             0.42349,             0.25693,            0.037254,            0.060828,           0.0086233,            0.006139,            0.006139,            0.006139
                 119,            0.035046,            0.052376,           0.0035913,             0.75826,             0.38442,             0.42597,             0.25783,            0.037235,            0.060848,           0.0086261,            0.006106,            0.006106,            0.006106
                 120,            0.034974,            0.052512,           0.0036745,             0.76953,              0.3835,               0.427,              0.2556,            0.037239,            0.060828,           0.0086178,            0.006073,            0.006073,            0.006073
                 121,            0.034862,            0.052226,           0.0036297,             0.73775,              0.3897,             0.42655,             0.25692,            0.037241,            0.060786,           0.0086352,             0.00604,             0.00604,             0.00604
                 122,            0.034948,            0.052934,            0.003659,             0.75292,             0.38172,             0.42542,             0.25718,            0.037233,            0.060782,           0.0086535,            0.006007,            0.006007,            0.006007
                 123,            0.034704,            0.051734,           0.0036163,             0.73658,             0.38411,             0.42564,             0.25925,            0.037228,            0.060789,           0.0086932,            0.005974,            0.005974,            0.005974
                 124,            0.034759,            0.051755,           0.0035736,             0.73059,             0.38909,             0.42579,             0.25784,            0.037225,            0.060821,           0.0087205,            0.005941,            0.005941,            0.005941
                 125,            0.034704,            0.052096,           0.0035857,             0.71156,             0.39994,             0.42567,             0.25851,            0.037216,            0.060826,           0.0087083,            0.005908,            0.005908,            0.005908
                 126,            0.034702,            0.052281,           0.0034753,             0.70333,              0.4013,              0.4249,             0.25988,            0.037212,             0.06087,            0.008679,            0.005875,            0.005875,            0.005875
                 127,            0.034665,            0.052307,           0.0035184,              0.7282,             0.39754,             0.42646,             0.26109,            0.037204,            0.060927,           0.0086901,            0.005842,            0.005842,            0.005842
                 128,            0.034611,            0.051779,           0.0035016,             0.72951,             0.39284,             0.42578,             0.26085,            0.037199,            0.060933,           0.0087167,            0.005809,            0.005809,            0.005809
                 129,             0.03444,            0.052014,           0.0033746,             0.74115,             0.39402,             0.43033,             0.26008,            0.037193,            0.060953,           0.0087319,            0.005776,            0.005776,            0.005776
                 130,            0.034255,            0.051063,            0.003417,             0.75108,             0.39347,             0.43181,             0.26079,             0.03719,            0.060992,           0.0087543,            0.005743,            0.005743,            0.005743
                 131,            0.034316,            0.051598,           0.0034572,             0.74791,             0.39117,             0.43017,             0.25987,            0.037198,            0.061029,           0.0087898,             0.00571,             0.00571,             0.00571
                 132,            0.034535,            0.051871,           0.0034265,              0.7366,             0.39167,             0.42554,             0.25827,            0.037219,            0.061075,           0.0088383,            0.005677,            0.005677,            0.005677
                 133,            0.034503,            0.051687,           0.0034135,             0.72863,             0.39742,             0.42801,             0.25815,            0.037223,            0.061075,           0.0088526,            0.005644,            0.005644,            0.005644
                 134,             0.03417,            0.051355,           0.0034232,             0.73743,             0.39894,             0.42629,             0.25862,            0.037229,            0.061073,           0.0088872,            0.005611,            0.005611,            0.005611
                 135,            0.034173,            0.051353,           0.0033762,             0.74982,             0.38967,             0.42792,             0.25946,             0.03723,            0.061139,           0.0089207,            0.005578,            0.005578,            0.005578
                 136,             0.03434,              0.0517,           0.0032567,             0.75493,              0.3825,             0.42724,             0.25983,            0.037211,            0.061122,           0.0089299,            0.005545,            0.005545,            0.005545
                 137,            0.034381,            0.051737,           0.0034794,             0.73312,             0.39388,             0.42743,             0.25947,            0.037205,            0.061127,           0.0088829,            0.005512,            0.005512,            0.005512
                 138,            0.034049,            0.050909,           0.0033828,             0.73388,             0.39701,             0.42813,             0.25965,            0.037208,            0.061178,            0.008889,            0.005479,            0.005479,            0.005479
                 139,            0.034363,             0.05147,           0.0033832,             0.73566,             0.39355,             0.42695,             0.25808,            0.037231,            0.061257,           0.0088918,            0.005446,            0.005446,            0.005446
                 140,             0.03399,            0.050545,           0.0032629,              0.7126,             0.39838,             0.42585,              0.2585,            0.037246,            0.061341,           0.0088911,            0.005413,            0.005413,            0.005413
                 141,            0.034207,            0.051706,            0.003314,             0.73007,             0.39505,             0.42854,             0.25772,             0.03725,             0.06143,           0.0089117,             0.00538,             0.00538,             0.00538
                 142,            0.033973,            0.051213,            0.003255,             0.74344,             0.39176,             0.42718,             0.25827,            0.037251,            0.061475,           0.0089267,            0.005347,            0.005347,            0.005347
                 143,            0.033916,            0.050491,           0.0032683,              0.7366,             0.39377,             0.42663,             0.25826,            0.037254,            0.061489,           0.0089336,            0.005314,            0.005314,            0.005314
                 144,            0.034117,            0.050296,           0.0032508,             0.74709,             0.39489,             0.42753,             0.25992,            0.037246,            0.061512,           0.0089367,            0.005281,            0.005281,            0.005281
                 145,            0.034008,             0.05091,           0.0032863,             0.74407,             0.39718,              0.4299,             0.26022,            0.037237,            0.061499,           0.0089207,            0.005248,            0.005248,            0.005248
                 146,            0.033846,            0.050944,           0.0032247,             0.74621,             0.39742,             0.42878,             0.26055,            0.037227,            0.061484,           0.0089065,            0.005215,            0.005215,            0.005215
                 147,            0.033674,            0.050539,           0.0032417,             0.74713,             0.39505,             0.42839,             0.26146,            0.037221,            0.061495,           0.0088929,            0.005182,            0.005182,            0.005182
                 148,             0.03383,            0.050764,           0.0032098,              0.7578,              0.3935,             0.43085,             0.26185,            0.037223,            0.061544,           0.0088969,            0.005149,            0.005149,            0.005149
